№,Название,Авторы,Журнал,Выпуск,Дата публикации,Ссылка
1,Gemeinsam für unsere Zukunft – Potenzial eines umweltrelevanten CitizenScience-Projekts für den Chemieunterricht,"Mientje Lüsse, Frauke Brockhage, Marco Beeken, Verena Pietzner",CHEMKON,"Volume 29, Issue S1","First published:June 15, 2022",https://onlinelibrary.wiley.com/doi/10.1002/ckon.202100085
2,Gesprächsführung in der Berufsorientierung: Strategien zur Förderung naturwissenschaftlicher Identitäten nach demScience-Capital-Ansatz,"Lilith Rüschenpöhler, Julian Küsel, Marina Hönig, Silvija Markic",CHEMKON,"Volume 29, Issue 3",First published:25 November 2020,https://onlinelibrary.wiley.com/doi/10.1002/ckon.202000056
3,So kannScienceOutreach gelingen! – Transferprozess zwischen universitärer Forschung und Schulen,"Lena Geuer, Roland Ulber",Chemie Ingenieur Technik,"Volume 97, Issue 4",First published:12 February 2025,https://onlinelibrary.wiley.com/doi/10.1002/cite.202400152
4,Neue Wege der standardkonformen Gesamtprozesssteuerung in der LifeScienceAutomation,"Bernd Göde, Silke Holzmüller-Laue, Kerstin Thurow",Chemie Ingenieur Technik,"Volume 87, Issue 5",First published:01 April 2015,https://onlinelibrary.wiley.com/doi/10.1002/cite.201400032
5,Dem Plastikmüll auf der Spur – Ein internationales Citizen-Science-Projekt zur Förderung der naturwissenschaftlichen Grundbildung von Schülerinnen und Schülern,"Katrin Kruse, Katrin Knickmeier, Daniela Honorato-Zimmer, Magdalena Gatta-Rosemary, Anna Weinmann, Tim Kiessling, Katrin Schöps, Martin Thiel, Ilka Parchmann",CHEMKON,"Volume 27, Issue 7",First published:05 March 2020,https://onlinelibrary.wiley.com/doi/10.1002/ckon.201800093
6,CitizenScience,Georg Zizka,Biologie in unserer Zeit,"Volume 47, Issue 1",First published:20 February 2017,https://onlinelibrary.wiley.com/doi/10.1002/biuz.201710611
7,"IRRIGATION IN THE TWENTY-FIRST CENTURY: REFLECTIONS ONSCIENCE, POLICY AND SOCIETY",Roberto Lenton,Irrigation and Drainage,"Volume 63, Issue 2",First published:16 April 2014,https://onlinelibrary.wiley.com/doi/10.1002/ird.1844
8,„smart forscience“: Eigene und gestellte Smartphones im Vergleich,"Fabienne E. Kremer, Annette Marohn",CHEMKON,"Volume 29, Issue S1","First published:June 15, 2022",https://onlinelibrary.wiley.com/doi/10.1002/ckon.202200009
9,Psychology as aScienceof the Soul: Evangelos Christou’sThe Logos of the Soul(1963),Robert Kugelmann,Journal of Analytical Psychology,"Volume 69, Issue 3",First published:09 May 2024,https://onlinelibrary.wiley.com/doi/10.1111/1468-5922.13002
10,Entwicklungen und Trends in der industriellen Prozessanalytik für Life-Science-Anwendungen,"Martin Gerlach, Reinhard Gross, Thomas Steckenreiter, Jens Traenkle, Albert Tulke",Chemie Ingenieur Technik,"Volume 88, Issue 6",First published:23 March 2016,https://onlinelibrary.wiley.com/doi/10.1002/cite.201500114
11,Chemie undScienceFiction,Rolf Gelius,Chemie in unserer Zeit,"Volume 46, Issue 5",First published:02 October 2012,https://onlinelibrary.wiley.com/doi/10.1002/ciuz.201200573
12,"Climate change and water at Stellat'en First Nation, British Columbia, Canada: Insights from westernscienceand traditional knowledge","Darlene Sanderson, Ian M. Picketts, Stephen J. Déry, Bryndel Fell, Sharolise Baker, Eddison Lee-Johnson, Monique Auger",The Canadian Geographer / Le Géographe canadien,"Volume 59, Issue 2",First published:01 March 2015,https://onlinelibrary.wiley.com/doi/10.1111/cag.12142
13,Community-Science- Projekte in der Wissenschaft,"Fabian Ließmann, Anja Landsmann, Jan Rossa, Jens Meiler",Chemie in unserer Zeit,"Volume 58, Issue 4",First published:15 May 2024,https://onlinelibrary.wiley.com/doi/10.1002/ciuz.202400009
14,Treatment of Leprosy:scienceor politics?,Bernard Naafs,Tropical Medicine & International Health,"Volume 11, Issue 3",First published:07 March 2006,https://onlinelibrary.wiley.com/doi/10.1111/j.1365-3156.2006.01561.x
15,"Building the Bioeconomy through Innovation, Monitoring andScience-based Policies","David Zilberman, Justus Wesseler",EuroChoices,"Volume 22, Issue 3",First published:23 November 2023,https://onlinelibrary.wiley.com/doi/10.1111/1746-692X.12410
16,EinScienceCamp zu Wissenschaft und Wissenschaftskommunikation: Schüler präsentieren (ihre) Nanoforschung,"Frederike Tirre, Lorenz Kampschulte, Ilka Parchmann",CHEMKON,"Volume 22, Issue 4",First published:28 October 2015,https://onlinelibrary.wiley.com/doi/10.1002/ckon.201410260
17,Science+ Fiction: Isaac Asimov zum 15. Todestag,Thomas Schneider,Chemie in unserer Zeit,"Volume 41, Issue 2",First published:02 April 2007,https://onlinelibrary.wiley.com/doi/10.1002/ciuz.200700403
18,Scienceat the center: Meaningfulsciencelearning in a preschool classroom,"Sara Raven, Julianne A. Wenner",Journal of Research inScienceTeaching,"Volume 60, Issue 3",First published:12 August 2022,https://onlinelibrary.wiley.com/doi/10.1002/tea.21807
19,»Science-in-fiction« and »Science-in-theatre« as pedagogic tools An Anglo-German Presentation,Carl Djerassi,N/A,N/A,First published:17 December 2003,https://onlinelibrary.wiley.com/doi/10.1002/9783527623563.ch17
20,Issciencereally for me? Gender differences in student attitudes towardscience,Paul Nnanyereugo Iwuanyanwu,SchoolScienceand Mathematics,"Volume 122, Issue 5",First published:26 August 2022,https://onlinelibrary.wiley.com/doi/10.1111/ssm.12541
21,Gemeinsam für unsere Zukunft – Potenzial eines umweltrelevanten CitizenScience-Projekts für den Chemieunterricht,"Mientje Lüsse, Frauke Brockhage, Marco Beeken, Verena Pietzner",CHEMKON,"Volume 29, Issue S1","First published:June 15, 2022",https://onlinelibrary.wiley.com/doi/10.1002/ckon.202100085
22,Gesprächsführung in der Berufsorientierung: Strategien zur Förderung naturwissenschaftlicher Identitäten nach demScience-Capital-Ansatz,"Lilith Rüschenpöhler, Julian Küsel, Marina Hönig, Silvija Markic",CHEMKON,"Volume 29, Issue 3",First published:25 November 2020,https://onlinelibrary.wiley.com/doi/10.1002/ckon.202000056
23,So kannScienceOutreach gelingen! – Transferprozess zwischen universitärer Forschung und Schulen,"Lena Geuer, Roland Ulber",Chemie Ingenieur Technik,"Volume 97, Issue 4",First published:12 February 2025,https://onlinelibrary.wiley.com/doi/10.1002/cite.202400152
24,Neue Wege der standardkonformen Gesamtprozesssteuerung in der LifeScienceAutomation,"Bernd Göde, Silke Holzmüller-Laue, Kerstin Thurow",Chemie Ingenieur Technik,"Volume 87, Issue 5",First published:01 April 2015,https://onlinelibrary.wiley.com/doi/10.1002/cite.201400032
25,Dem Plastikmüll auf der Spur – Ein internationales Citizen-Science-Projekt zur Förderung der naturwissenschaftlichen Grundbildung von Schülerinnen und Schülern,"Katrin Kruse, Katrin Knickmeier, Daniela Honorato-Zimmer, Magdalena Gatta-Rosemary, Anna Weinmann, Tim Kiessling, Katrin Schöps, Martin Thiel, Ilka Parchmann",CHEMKON,"Volume 27, Issue 7",First published:05 March 2020,https://onlinelibrary.wiley.com/doi/10.1002/ckon.201800093
26,CitizenScience,Georg Zizka,Biologie in unserer Zeit,"Volume 47, Issue 1",First published:20 February 2017,https://onlinelibrary.wiley.com/doi/10.1002/biuz.201710611
27,"IRRIGATION IN THE TWENTY-FIRST CENTURY: REFLECTIONS ONSCIENCE, POLICY AND SOCIETY",Roberto Lenton,Irrigation and Drainage,"Volume 63, Issue 2",First published:16 April 2014,https://onlinelibrary.wiley.com/doi/10.1002/ird.1844
28,„smart forscience“: Eigene und gestellte Smartphones im Vergleich,"Fabienne E. Kremer, Annette Marohn",CHEMKON,"Volume 29, Issue S1","First published:June 15, 2022",https://onlinelibrary.wiley.com/doi/10.1002/ckon.202200009
29,Psychology as aScienceof the Soul: Evangelos Christou’sThe Logos of the Soul(1963),Robert Kugelmann,Journal of Analytical Psychology,"Volume 69, Issue 3",First published:09 May 2024,https://onlinelibrary.wiley.com/doi/10.1111/1468-5922.13002
30,Entwicklungen und Trends in der industriellen Prozessanalytik für Life-Science-Anwendungen,"Martin Gerlach, Reinhard Gross, Thomas Steckenreiter, Jens Traenkle, Albert Tulke",Chemie Ingenieur Technik,"Volume 88, Issue 6",First published:23 March 2016,https://onlinelibrary.wiley.com/doi/10.1002/cite.201500114
31,Chemie undScienceFiction,Rolf Gelius,Chemie in unserer Zeit,"Volume 46, Issue 5",First published:02 October 2012,https://onlinelibrary.wiley.com/doi/10.1002/ciuz.201200573
32,"Climate change and water at Stellat'en First Nation, British Columbia, Canada: Insights from westernscienceand traditional knowledge","Darlene Sanderson, Ian M. Picketts, Stephen J. Déry, Bryndel Fell, Sharolise Baker, Eddison Lee-Johnson, Monique Auger",The Canadian Geographer / Le Géographe canadien,"Volume 59, Issue 2",First published:01 March 2015,https://onlinelibrary.wiley.com/doi/10.1111/cag.12142
33,Community-Science- Projekte in der Wissenschaft,"Fabian Ließmann, Anja Landsmann, Jan Rossa, Jens Meiler",Chemie in unserer Zeit,"Volume 58, Issue 4",First published:15 May 2024,https://onlinelibrary.wiley.com/doi/10.1002/ciuz.202400009
34,Treatment of Leprosy:scienceor politics?,Bernard Naafs,Tropical Medicine & International Health,"Volume 11, Issue 3",First published:07 March 2006,https://onlinelibrary.wiley.com/doi/10.1111/j.1365-3156.2006.01561.x
35,"Building the Bioeconomy through Innovation, Monitoring andScience-based Policies","David Zilberman, Justus Wesseler",EuroChoices,"Volume 22, Issue 3",First published:23 November 2023,https://onlinelibrary.wiley.com/doi/10.1111/1746-692X.12410
36,EinScienceCamp zu Wissenschaft und Wissenschaftskommunikation: Schüler präsentieren (ihre) Nanoforschung,"Frederike Tirre, Lorenz Kampschulte, Ilka Parchmann",CHEMKON,"Volume 22, Issue 4",First published:28 October 2015,https://onlinelibrary.wiley.com/doi/10.1002/ckon.201410260
37,Science+ Fiction: Isaac Asimov zum 15. Todestag,Thomas Schneider,Chemie in unserer Zeit,"Volume 41, Issue 2",First published:02 April 2007,https://onlinelibrary.wiley.com/doi/10.1002/ciuz.200700403
38,Scienceat the center: Meaningfulsciencelearning in a preschool classroom,"Sara Raven, Julianne A. Wenner",Journal of Research inScienceTeaching,"Volume 60, Issue 3",First published:12 August 2022,https://onlinelibrary.wiley.com/doi/10.1002/tea.21807
39,»Science-in-fiction« and »Science-in-theatre« as pedagogic tools An Anglo-German Presentation,Carl Djerassi,N/A,N/A,First published:17 December 2003,https://onlinelibrary.wiley.com/doi/10.1002/9783527623563.ch17
40,Issciencereally for me? Gender differences in student attitudes towardscience,Paul Nnanyereugo Iwuanyanwu,SchoolScienceand Mathematics,"Volume 122, Issue 5",First published:26 August 2022,https://onlinelibrary.wiley.com/doi/10.1111/ssm.12541
41,Science,,N/A,N/A,First published:22 December 2008,https://onlinelibrary.wiley.com/doi/10.1002/9781118266571.ch6
42,"Science, the Media, and Interpretations of Upper Paleolithic Figurines","April Nowell, Melanie L. Chang",American Anthropologist,"Volume 116, Issue 3",First published:26 August 2014,https://onlinelibrary.wiley.com/doi/10.1111/aman.12121
43,Science,W. E. Boyd,N/A,N/A,First published:28 January 2016,https://onlinelibrary.wiley.com/doi/10.1002/9781119076506.wbeps320
44,The Dialogue BetweenScienceand Society,,N/A,N/A,First published:07 June 2024,https://onlinelibrary.wiley.com/doi/10.1002/9781394299003.ch1
45,Belief inScience-Related Conspiracy Theories,"Shane Littrell, Amanda Diekman, Michelle Seelig, Kamal Premaratne, Stefan Wuchty, Daniel Verdear, Casey A. Klofstad, Joseph Uscinski",Journal of Social Issues,"Volume 81, Issue 1",First published:16 March 2025,https://onlinelibrary.wiley.com/doi/10.1111/josi.70004
46,DIVINE DNA? “SECULAR” AND “RELIGIOUS” REPRESENTATIONS OFSCIENCEIN NONFICTIONSCIENCETELEVISION PROGRAMS,Will Mason-Wilkes,Zygon®,"Volume 55, Issue 1",First published:19 February 2020,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12574
47,Science,Ralph O'Connor,N/A,N/A,First published:05 February 2021,https://onlinelibrary.wiley.com/doi/10.1002/9781119092797.ch28
48,Science,Roger A. Willer,N/A,N/A,First published:20 June 2022,https://onlinelibrary.wiley.com/doi/10.1002/9781118499528.ch133
49,Thescienceof intentions and the intentions ofscience,Polly Young-Eisendrath,Psychotherapy and Politics International,"Volume 1, Issue 2",First published:13 February 2006,https://onlinelibrary.wiley.com/doi/10.1002/ppi.58
50,Science,Teresa A. Sullivan,N/A,N/A,First published:31 October 2021,https://onlinelibrary.wiley.com/doi/10.1002/9781405165518.wbeoss036.pub2
51,Scienceand the Military,F. A. Long,N/A,N/A,First published:01 January 1972,https://onlinelibrary.wiley.com/doi/10.1002/9780470719848.ch9
